Industry,Nominal Compensation,Real Compensation
Leisure and hospitality,14.608327452364161,1.7694428168528429
"Trade, transportation, and utilities",10.845070422535215,-1.993814212976103
"Other services, except public administration",9.764789736279392,-3.074094899231927
Financial activities,8.96700143472023,-3.871883200791089
Information,8.686131386861318,-4.152753248650001
Education and health services,8.53217642805494,-4.306708207456378
Manufacturing,8.516886930983866,-4.321997704527453
Professional and business services,8.46975088967972,-4.369133745831599
Construction,7.837445573294617,-5.0014390622167015
